Taxa	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__archaea	0.405117800500582	0.200767142844791	0.14647674240844	0.135529607782725	0.181383402168206	0.132219947697603	0.13679367609192	4.63144371347944	0.27394404774024	6.39072360901641	5.64726783686773	0.235156352988003	0.12596981186076	0.185341741116382	2.9683685700313	0.124687213384587	0.157694839163586	3.48659284933322	0.152179572485469	0.126714791605633	1.67090032510091	2.51339281593827	0.181317720318191	0.455522698405618	0.126164187401856	0.189975981817001	0.774915964693899	0.178284407554543	0.131191751581143	0.7810235518576	0.534409222115204	3.45979198233324	4.46129928456541	0.315608598004581	0.522780501647386	0.133519631868153	0.518929338280111	0.137009550123712	0.634420193132935	0.184959814875274	3.07043512028697
k__archaea|p__candidatus_korarchaeota	7.31705638493968e-05	0.000217659123252618	0.000123692454150127	8.64610706183307e-05	0.000128096501287824	0.000108221302975355	0.00010643722058514	0.00010870035553038	0.000149309443822322	9.40018724050573e-05	9.61182424888016e-05	0.000106438039167643	7.35859187895061e-05	6.48245531171811e-05	0.000117539454869673	9.49045665759157e-05	0.000128574672372369	0.000129218859890513	0.000117430668835724	0.000102484894357042	0.000132292397335564	0.000117424632357049	0.000121173225896741	0.000106998258265657	0.00010926386292884	5.86315462631555e-05	0.000205138087824656	0.000180832562754526	0.000168015050050556	9.46156539391744e-05	0.000114637006226588	0.000159643494385021	0.00014447417865541	7.15952160481892e-05	8.70507550972043e-05	9.88435258462668e-05	0.000108925650141386	7.1530515883738e-05	0.000119332774318005	0.000135535347581788	0.000114858821738695
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	7.31705638493968e-05	0.000217659123252618	0.000123692454150127	8.64610706183307e-05	0.000128096501287824	0.000108221302975355	0.00010643722058514	0.00010870035553038	0.000149309443822322	9.40018724050573e-05	9.61182424888016e-05	0.000106438039167643	7.35859187895061e-05	6.48245531171811e-05	0.000117539454869673	9.49045665759157e-05	0.000128574672372369	0.000129218859890513	0.000117430668835724	0.000102484894357042	0.000132292397335564	0.000117424632357049	0.000121173225896741	0.000106998258265657	0.00010926386292884	5.86315462631555e-05	0.000205138087824656	0.000180832562754526	0.000168015050050556	9.46156539391744e-05	0.000114637006226588	0.000159643494385021	0.00014447417865541	7.15952160481892e-05	8.70507550972043e-05	9.88435258462668e-05	0.000108925650141386	7.1530515883738e-05	0.000119332774318005	0.000135535347581788	0.000114858821738695
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	7.31705638493968e-05	0.000217659123252618	0.000123692454150127	8.64610706183307e-05	0.000128096501287824	0.000108221302975355	0.00010643722058514	0.00010870035553038	0.000149309443822322	9.40018724050573e-05	9.61182424888016e-05	0.000106438039167643	7.35859187895061e-05	6.48245531171811e-05	0.000117539454869673	9.49045665759157e-05	0.000128574672372369	0.000129218859890513	0.000117430668835724	0.000102484894357042	0.000132292397335564	0.000117424632357049	0.000121173225896741	0.000106998258265657	0.00010926386292884	5.86315462631555e-05	0.000205138087824656	0.000180832562754526	0.000168015050050556	9.46156539391744e-05	0.000114637006226588	0.000159643494385021	0.00014447417865541	7.15952160481892e-05	8.70507550972043e-05	9.88435258462668e-05	0.000108925650141386	7.1530515883738e-05	0.000119332774318005	0.000135535347581788	0.000114858821738695
k__archaea|p__candidatus_lokiarchaeota	0.00224895940586165	0.00250253576959698	0.00279931917185566	0.00226463561986025	0.00273728543043204	0.00192834836483091	0.0021965281153386	0.00296106743888639	0.00301010424190715	0.00293019269429794	0.00311269873682938	0.00308821289528248	0.00212205879320008	0.00204999626392353	0.00270748397488814	0.0020581975087189	0.00238861394450779	0.0028393964292344	0.0023948064834129	0.00180716818950009	0.00270920904227727	0.00278283752381653	0.00331556145669893	0.00306955996230201	0.00259120521445777	0.00241711423565264	0.00243235161277806	0.00234026375010054	0.00197042040404819	0.00386490610636385	0.00385649022604252	0.00377599517062587	0.00297369579489129	0.00147918418061825	0.0028333616739703	0.00282970226059065	0.00240725686812463	0.00181102260669282	0.00395446084037617	0.00331579572096534	0.00260295614242492
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.00224895940586165	0.00250253576959698	0.00279931917185566	0.00226463561986025	0.00273728543043204	0.00192834836483091	0.0021965281153386	0.00296106743888639	0.00301010424190715	0.00293019269429794	0.00311269873682938	0.00308821289528248	0.00212205879320008	0.00204999626392353	0.00270748397488814	0.0020581975087189	0.00238861394450779	0.0028393964292344	0.0023948064834129	0.00180716818950009	0.00270920904227727	0.00278283752381653	0.00331556145669893	0.00306955996230201	0.00259120521445777	0.00241711423565264	0.00243235161277806	0.00234026375010054	0.00197042040404819	0.00386490610636385	0.00385649022604252	0.00377599517062587	0.00297369579489129	0.00147918418061825	0.0028333616739703	0.00282970226059065	0.00240725686812463	0.00181102260669282	0.00395446084037617	0.00331579572096534	0.00260295614242492
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.00224895940586165	0.00250253576959698	0.00279931917185566	0.00226463561986025	0.00273728543043204	0.00192834836483091	0.0021965281153386	0.00296106743888639	0.00301010424190715	0.00293019269429794	0.00311269873682938	0.00308821289528248	0.00212205879320008	0.00204999626392353	0.00270748397488814	0.0020581975087189	0.00238861394450779	0.0028393964292344	0.0023948064834129	0.00180716818950009	0.00270920904227727	0.00278283752381653	0.00331556145669893	0.00306955996230201	0.00259120521445777	0.00241711423565264	0.00243235161277806	0.00234026375010054	0.00197042040404819	0.00386490610636385	0.00385649022604252	0.00377599517062587	0.00297369579489129	0.00147918418061825	0.0028333616739703	0.00282970226059065	0.00240725686812463	0.00181102260669282	0.00395446084037617	0.00331579572096534	0.00260295614242492
k__archaea|p__candidatus_micrarchaeota	0.00021191851982797	0.000257926061054353	0.00029921135556986	0.000289993653005581	0.000344492532589584	0.000226488465298634	0.000254889133506519	0.000381323172341868	0.000421427521091575	0.000424411438843729	0.000433228600203149	0.000344225147946421	0.00032152405957577	0.000195115486610129	0.000322723936780895	0.000151412629117301	0.00023798293395631	0.000357573882130891	0.000283280618186652	0.000251114819681128	0.000311235271626301	0.000332071809783914	0.000457183306356353	0.000432546150435635	0.000252196241760171	0.000240274375862735	0.000239653385141185	0.000319426862675877	0.000214458234617377	0.000485263619066826	0.000535817167224826	0.00049416364101623	0.000417198162962145	0.00013778701956444	0.000366455598070489	0.000375768775944485	0.000264773118805215	0.000199635167057341	0.000521654699161565	0.000316438175525681	0.000338961145042194
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	7.04094104965894e-05	4.51642680749183e-05	5.18264472696062e-05	4.29620226674935e-05	5.34771801492856e-05	4.65762569767352e-05	3.97739087449734e-05	0.000104631358264537	8.01487923548394e-05	0.000164854029964093	0.000198505066009482	0.000110212437719687	0.000101429239412562	5.45553169798058e-05	0.000101912822141335	3.47741923331599e-05	5.43048305672116e-05	0.000133321045918783	6.28894103243452e-05	4.23890400743785e-05	9.33009539103453e-05	9.34346537034586e-05	8.84237053841083e-05	0.000106239405370156	6.16197366517294e-05	5.92063653441668e-05	5.66571861610955e-05	7.39169599580542e-05	4.43942205418137e-05	0.000109668144338588	0.000175438954280469	0.000157815515441682	0.000152200070562116	4.52535799549875e-05	0.00010460131056035	9.06746394126911e-05	6.53553900848315e-05	5.65741352898655e-05	0.000181272166702112	7.08866880657888e-05	0.000111285436173491
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	7.04094104965894e-05	4.51642680749183e-05	5.18264472696062e-05	4.29620226674935e-05	5.34771801492856e-05	4.65762569767352e-05	3.97739087449734e-05	0.000104631358264537	8.01487923548394e-05	0.000164854029964093	0.000198505066009482	0.000110212437719687	0.000101429239412562	5.45553169798058e-05	0.000101912822141335	3.47741923331599e-05	5.43048305672116e-05	0.000133321045918783	6.28894103243452e-05	4.23890400743785e-05	9.33009539103453e-05	9.34346537034586e-05	8.84237053841083e-05	0.000106239405370156	6.16197366517294e-05	5.92063653441668e-05	5.66571861610955e-05	7.39169599580542e-05	4.43942205418137e-05	0.000109668144338588	0.000175438954280469	0.000157815515441682	0.000152200070562116	4.52535799549875e-05	0.00010460131056035	9.06746394126911e-05	6.53553900848315e-05	5.65741352898655e-05	0.000181272166702112	7.08866880657888e-05	0.000111285436173491
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	7.04094104965894e-05	4.51642680749183e-05	5.18264472696062e-05	4.29620226674935e-05	5.34771801492856e-05	4.65762569767352e-05	3.97739087449734e-05	0.000104631358264537	8.01487923548394e-05	0.000164854029964093	0.000198505066009482	0.000110212437719687	0.000101429239412562	5.45553169798058e-05	0.000101912822141335	3.47741923331599e-05	5.43048305672116e-05	0.000133321045918783	6.28894103243452e-05	4.23890400743785e-05	9.33009539103453e-05	9.34346537034586e-05	8.84237053841083e-05	0.000106239405370156	6.16197366517294e-05	5.92063653441668e-05	5.66571861610955e-05	7.39169599580542e-05	4.43942205418137e-05	0.000109668144338588	0.000175438954280469	0.000157815515441682	0.000152200070562116	4.52535799549875e-05	0.00010460131056035	9.06746394126911e-05	6.53553900848315e-05	5.65741352898655e-05	0.000181272166702112	7.08866880657888e-05	0.000111285436173491
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	7.04094104965894e-05	4.51642680749183e-05	5.18264472696062e-05	4.29620226674935e-05	5.34771801492856e-05	4.65762569767352e-05	3.97739087449734e-05	0.000104631358264537	8.01487923548394e-05	0.000164854029964093	0.000198505066009482	0.000110212437719687	0.000101429239412562	5.45553169798058e-05	0.000101912822141335	3.47741923331599e-05	5.43048305672116e-05	0.000133321045918783	6.28894103243452e-05	4.23890400743785e-05	9.33009539103453e-05	9.34346537034586e-05	8.84237053841083e-05	0.000106239405370156	6.16197366517294e-05	5.92063653441668e-05	5.66571861610955e-05	7.39169599580542e-05	4.43942205418137e-05	0.000109668144338588	0.000175438954280469	0.000157815515441682	0.000152200070562116	4.52535799549875e-05	0.00010460131056035	9.06746394126911e-05	6.53553900848315e-05	5.65741352898655e-05	0.000181272166702112	7.08866880657888e-05	0.000111285436173491
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	7.04094104965894e-05	4.51642680749183e-05	5.18264472696062e-05	4.29620226674935e-05	5.34771801492856e-05	4.65762569767352e-05	3.97739087449734e-05	0.000104631358264537	8.01487923548394e-05	0.000164854029964093	0.000198505066009482	0.000110212437719687	0.000101429239412562	5.45553169798058e-05	0.000101912822141335	3.47741923331599e-05	5.43048305672116e-05	0.000133321045918783	6.28894103243452e-05	4.23890400743785e-05	9.33009539103453e-05	9.34346537034586e-05	8.84237053841083e-05	0.000106239405370156	6.16197366517294e-05	5.92063653441668e-05	5.66571861610955e-05	7.39169599580542e-05	4.43942205418137e-05	0.000109668144338588	0.000175438954280469	0.000157815515441682	0.000152200070562116	4.52535799549875e-05	0.00010460131056035	9.06746394126911e-05	6.53553900848315e-05	5.65741352898655e-05	0.000181272166702112	7.08866880657888e-05	0.000111285436173491
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	0.000141509109331381	0.000212761792979434	0.000247384908300254	0.000247031630338088	0.000291015352440299	0.000179912208321899	0.000215115224761546	0.000275529243429947	0.000341278728736735	0.000259557408879636	0.000234027025190126	0.000229483431964281	0.000220094820163207	0.000140560169630323	0.000218772858196733	0.000116638436784141	0.000183678103389098	0.000223569138540729	0.000219834664408109	0.00020872577960675	0.000215845490389605	0.000236743210397277	0.000368759600972244	0.000326306745065479	0.000190576505108441	0.000180493191437557	0.00018299619898009	0.000245509902717823	0.000170064014075563	0.000374878689471123	0.000360378212944357	0.000335129472945656	0.000264225503209359	9.25334396094521e-05	0.000261854287510139	0.000285094136531794	0.000198579839103911	0.000143061031767476	0.000340382532459452	0.000245551487459893	0.00022716522521653
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	0.000141509109331381	0.000212761792979434	0.000247384908300254	0.000247031630338088	0.000291015352440299	0.000179912208321899	0.000215115224761546	0.000275529243429947	0.000341278728736735	0.000259557408879636	0.000234027025190126	0.000229483431964281	0.000220094820163207	0.000140560169630323	0.000218772858196733	0.000116638436784141	0.000183678103389098	0.000223569138540729	0.000219834664408109	0.00020872577960675	0.000215845490389605	0.000236743210397277	0.000368759600972244	0.000326306745065479	0.000190576505108441	0.000180493191437557	0.00018299619898009	0.000245509902717823	0.000170064014075563	0.000374878689471123	0.000360378212944357	0.000335129472945656	0.000264225503209359	9.25334396094521e-05	0.000261854287510139	0.000285094136531794	0.000198579839103911	0.000143061031767476	0.000340382532459452	0.000245551487459893	0.00022716522521653
k__archaea|p__candidatus_nanohaloarchaeota	7.73122938786079e-05	6.20328501269962e-05	6.01186788327432e-05	8.9146197035049e-05	8.58122193093188e-05	0.000100458593479233	7.84274256943136e-05	0.00015229675480727	7.23924576108227e-05	0.00011224104167768	0.000193629502984687	9.1340444959467e-05	6.36418757098431e-05	6.86755166686968e-05	0.000186840173925781	0.000163728488901961	6.1492234612872e-05	0.000224936533883486	7.29071924999046e-05	7.61929581083765e-05	0.000169195013434432	0.000152146969881983	9.89035519481508e-05	9.18212003556349e-05	5.01851463452229e-05	9.65696056099031e-05	8.0752771080182e-05	0.00013925427277812	7.99095969752647e-05	0.000156259186051061	0.00014567133387909	0.000246777157350892	0.000207053903099731	8.17266145455745e-05	6.95001996340583e-05	4.00275435245213e-05	7.20585070166091e-05	6.95796836323633e-05	0.0001170597690929	0.000103778111328315	0.000177137827303677
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	7.73122938786079e-05	6.20328501269962e-05	6.01186788327432e-05	8.9146197035049e-05	8.58122193093188e-05	0.000100458593479233	7.84274256943136e-05	0.00015229675480727	7.23924576108227e-05	0.00011224104167768	0.000193629502984687	9.1340444959467e-05	6.36418757098431e-05	6.86755166686968e-05	0.000186840173925781	0.000163728488901961	6.1492234612872e-05	0.000224936533883486	7.29071924999046e-05	7.61929581083765e-05	0.000169195013434432	0.000152146969881983	9.89035519481508e-05	9.18212003556349e-05	5.01851463452229e-05	9.65696056099031e-05	8.0752771080182e-05	0.00013925427277812	7.99095969752647e-05	0.000156259186051061	0.00014567133387909	0.000246777157350892	0.000207053903099731	8.17266145455745e-05	6.95001996340583e-05	4.00275435245213e-05	7.20585070166091e-05	6.95796836323633e-05	0.0001170597690929	0.000103778111328315	0.000177137827303677
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	7.73122938786079e-05	6.20328501269962e-05	6.01186788327432e-05	8.9146197035049e-05	8.58122193093188e-05	0.000100458593479233	7.84274256943136e-05	0.00015229675480727	7.23924576108227e-05	0.00011224104167768	0.000193629502984687	9.1340444959467e-05	6.36418757098431e-05	6.86755166686968e-05	0.000186840173925781	0.000163728488901961	6.1492234612872e-05	0.000224936533883486	7.29071924999046e-05	7.61929581083765e-05	0.000169195013434432	0.000152146969881983	9.89035519481508e-05	9.18212003556349e-05	5.01851463452229e-05	9.65696056099031e-05	8.0752771080182e-05	0.00013925427277812	7.99095969752647e-05	0.000156259186051061	0.00014567133387909	0.000246777157350892	0.000207053903099731	8.17266145455745e-05	6.95001996340583e-05	4.00275435245213e-05	7.20585070166091e-05	6.95796836323633e-05	0.0001170597690929	0.000103778111328315	0.000177137827303677
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	7.73122938786079e-05	6.20328501269962e-05	6.01186788327432e-05	8.9146197035049e-05	8.58122193093188e-05	0.000100458593479233	7.84274256943136e-05	0.00015229675480727	7.23924576108227e-05	0.00011224104167768	0.000193629502984687	9.1340444959467e-05	6.36418757098431e-05	6.86755166686968e-05	0.000186840173925781	0.000163728488901961	6.1492234612872e-05	0.000224936533883486	7.29071924999046e-05	7.61929581083765e-05	0.000169195013434432	0.000152146969881983	9.89035519481508e-05	9.18212003556349e-05	5.01851463452229e-05	9.65696056099031e-05	8.0752771080182e-05	0.00013925427277812	7.99095969752647e-05	0.000156259186051061	0.00014567133387909	0.000246777157350892	0.000207053903099731	8.17266145455745e-05	6.95001996340583e-05	4.00275435245213e-05	7.20585070166091e-05	6.95796836323633e-05	0.0001170597690929	0.000103778111328315	0.000177137827303677
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	7.73122938786079e-05	6.20328501269962e-05	6.01186788327432e-05	8.9146197035049e-05	8.58122193093188e-05	0.000100458593479233	7.84274256943136e-05	0.00015229675480727	7.23924576108227e-05	0.00011224104167768	0.000193629502984687	9.1340444959467e-05	6.36418757098431e-05	6.86755166686968e-05	0.000186840173925781	0.000163728488901961	6.1492234612872e-05	0.000224936533883486	7.29071924999046e-05	7.61929581083765e-05	0.000169195013434432	0.000152146969881983	9.89035519481508e-05	9.18212003556349e-05	5.01851463452229e-05	9.65696056099031e-05	8.0752771080182e-05	0.00013925427277812	7.99095969752647e-05	0.000156259186051061	0.00014567133387909	0.000246777157350892	0.000207053903099731	8.17266145455745e-05	6.95001996340583e-05	4.00275435245213e-05	7.20585070166091e-05	6.95796836323633e-05	0.0001170597690929	0.000103778111328315	0.000177137827303677
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	7.73122938786079e-05	6.20328501269962e-05	6.01186788327432e-05	8.9146197035049e-05	8.58122193093188e-05	0.000100458593479233	7.84274256943136e-05	0.00015229675480727	7.23924576108227e-05	0.00011224104167768	0.000193629502984687	9.1340444959467e-05	6.36418757098431e-05	6.86755166686968e-05	0.000186840173925781	0.000163728488901961	6.1492234612872e-05	0.000224936533883486	7.29071924999046e-05	7.61929581083765e-05	0.000169195013434432	0.000152146969881983	9.89035519481508e-05	9.18212003556349e-05	5.01851463452229e-05	9.65696056099031e-05	8.0752771080182e-05	0.00013925427277812	7.99095969752647e-05	0.000156259186051061	0.00014567133387909	0.000246777157350892	0.000207053903099731	8.17266145455745e-05	6.95001996340583e-05	4.00275435245213e-05	7.20585070166091e-05	6.95796836323633e-05	0.0001170597690929	0.000103778111328315	0.000177137827303677
k__archaea|p__candidatus_thermoplasmatota	0.00367371453591028	0.00360117019421457	0.00396368668717948	0.00327155802612963	0.00444109326309533	0.00411606255282638	0.00398691420476022	0.00609768304552773	0.00509979009419099	0.00586248990812734	0.00785313901493651	0.00787113074043275	0.00328087128008347	0.00346779267813989	0.0068240825705838	0.00334049585100418	0.00368793687587328	0.00759793222202789	0.00435383944218896	0.00364814029703417	0.00711384959777611	0.00724118566201804	0.00461375244981969	0.00620058700913961	0.00390046580455277	0.00363688032555867	0.0040975519002944	0.00318634895247755	0.00305637133730179	0.00735923423479927	0.00783521770181835	0.00941957549503071	0.00724920437606261	0.00266320695167934	0.00424793644429987	0.00384264417835404	0.00417017662118214	0.00294575669957575	0.00709575406147109	0.00452597325962449	0.00593437245649925
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.00320224760091841	0.00315551313935483	0.00338115741986911	0.00279951280207055	0.0037651665791154	0.00370874861926513	0.00343568144130875	0.00538212081206304	0.00439590271617147	0.00512310204607562	0.00697205512545583	0.00706718384884736	0.00293879619814307	0.00301337897906104	0.00598839742902485	0.00298768269129066	0.00316325638054008	0.00676108627226076	0.00375444214201799	0.00326932178700238	0.00626230432440034	0.00651138525876671	0.00396531194366957	0.00538406129358041	0.00341640148157733	0.00322990841620265	0.0035804736725713	0.00278838531984624	0.00264316359225875	0.00647543801277652	0.00692952201726575	0.00839590728676034	0.00662340713161939	0.00241329912207717	0.00375511684689473	0.00345380518411584	0.00362471048085873	0.00259525717174544	0.00622121530111199	0.00396908743817965	0.00527533806154523
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.00092222521983768	0.00078520528713382	0.000769795496777884	0.000686318312113209	0.00102663749333105	0.00126349512798653	0.000810043268242697	0.00187871416617213	0.00136446855371827	0.00163801770198365	0.0029009599997526	0.00326032546925569	0.000789557020525241	0.000815120618404158	0.00241873097882102	0.000662158579010587	0.000883252097166707	0.00285170298731921	0.00105910219333831	0.00092451032972347	0.00258875333312436	0.00265089264122178	0.000924191468866495	0.00181745268472517	0.000740072094837781	0.00106341529987096	0.00107974269718501	0.000609814919653947	0.00062493402762707	0.00243491951841951	0.00268351931150306	0.00343172580296351	0.00265307128076298	0.000869273991075656	0.000852254973290371	0.000645342028252486	0.000957707831627724	0.000746518474859374	0.002341195381858	0.00101623156011115	0.00206031202016611
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0.000106994692421288	6.91067716327063e-05	6.49558139112398e-05	0.000147681952919509	0.000121878224526279	0.000217355865891431	0.000113719767256755	0.000215075569765992	0.00010341779658689	0.000161346497411665	0.000456909906323579	0.000285344530534533	9.81145583860081e-05	0.000102050534115166	0.00039542174990838	7.02728470065941e-05	9.58320539421382e-05	0.000514140648876539	0.000102403995572385	0.00012502083971304	0.000245785348733969	0.000224748221070482	4.19193862561699e-05	0.00014949402041372	3.87505560387164e-05	0.000133358026794628	0.000123082852694794	0.000102955765655861	0.000116790949425387	0.000201416657249303	0.00037177857820446	0.000541081767228622	0.000486731190122503	0.000161426949391672	7.23082885081617e-05	6.53510914686062e-05	8.96541889625253e-05	0.000187930173549093	0.000369931600385815	0.000110016139878104	0.000342534530607398
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	0.000106994692421288	6.91067716327063e-05	6.49558139112398e-05	0.000147681952919509	0.000121878224526279	0.000217355865891431	0.000113719767256755	0.000215075569765992	0.00010341779658689	0.000161346497411665	0.000456909906323579	0.000285344530534533	9.81145583860081e-05	0.000102050534115166	0.00039542174990838	7.02728470065941e-05	9.58320539421382e-05	0.000514140648876539	0.000102403995572385	0.00012502083971304	0.000245785348733969	0.000224748221070482	4.19193862561699e-05	0.00014949402041372	3.87505560387164e-05	0.000133358026794628	0.000123082852694794	0.000102955765655861	0.000116790949425387	0.000201416657249303	0.00037177857820446	0.000541081767228622	0.000486731190122503	0.000161426949391672	7.23082885081617e-05	6.53510914686062e-05	8.96541889625253e-05	0.000187930173549093	0.000369931600385815	0.000110016139878104	0.000342534530607398
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus|s__candidatus_methanomethylophilus_alvus	0.000106994692421288	6.91067716327063e-05	6.49558139112398e-05	0.000147681952919509	0.000121878224526279	0.000217355865891431	0.000113719767256755	0.000215075569765992	0.00010341779658689	0.000161346497411665	0.000456909906323579	0.000285344530534533	9.81145583860081e-05	0.000102050534115166	0.00039542174990838	7.02728470065941e-05	9.58320539421382e-05	0.000514140648876539	0.000102403995572385	0.00012502083971304	0.000245785348733969	0.000224748221070482	4.19193862561699e-05	0.00014949402041372	3.87505560387164e-05	0.000133358026794628	0.000123082852694794	0.000102955765655861	0.000116790949425387	0.000201416657249303	0.00037177857820446	0.000541081767228622	0.000486731190122503	0.000161426949391672	7.23082885081617e-05	6.53510914686062e-05	8.96541889625253e-05	0.000187930173549093	0.000369931600385815	0.000110016139878104	0.000342534530607398
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	0.000763458902051253	0.000710657037419799	0.00069931152849122	0.000533266106360263	0.000739353106947682	0.000839742515492313	0.000620697054780711	0.00122593074766616	0.000943041032626699	0.00111469384516146	0.00189171845362018	0.00187889559920755	0.000666913822542731	0.000713070084288992	0.00162516980374716	0.000590436807323445	0.00078342704097698	0.00186102506149194	0.000785282813873019	0.000703443437183673	0.00160004173198488	0.00165467721187003	0.000838387725123397	0.0012247885733388	0.000700686283782036	0.00071392529861607	0.000832274527745747	0.000502239344000708	0.000507460090193347	0.00165219001764998	0.00162961887856912	0.00238246588948639	0.00173446273305559	0.000698391069753091	0.000736421307233607	0.000579174048140522	0.000811077148745089	0.000558588301310281	0.00143483454834744	0.000834194545158203	0.00139974617425556
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma	0.000102162674053875	0.000100123196696204	8.08492577405857e-05	6.55170845679276e-05	0.000193388407284045	0.000157537339774251	0.000171980140629674	0.000346446052920355	0.000210713760545787	0.000267975487005462	0.000548152585787586	0.000657500227766081	0.000106732729055049	6.80336894101108e-05	0.00053809970090625	5.72325248816591e-05	0.000101422257088763	0.000661819345894268	0.000159171427900555	0.00015614190710942	0.00039061071002764	0.000438132768041894	0.000123138197127499	0.00029291721766343	5.20909113963073e-05	0.000170721267060364	0.00018169373493041	0.000116155222791228	0.000136597601667119	0.000474511840210102	0.000587118810895289	0.000722661008933723	0.000610345460629805	6.21392441172963e-05	0.000105303332778876	8.00550870490426e-05	0.000108925650141386	7.86835674721118e-05	0.000518813442630184	0.000203019474620419	0.000372142582433372
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma|s__candidatus_methanoplasma_termitum	0.000102162674053875	0.000100123196696204	8.08492577405857e-05	6.55170845679276e-05	0.000193388407284045	0.000157537339774251	0.000171980140629674	0.000346446052920355	0.000210713760545787	0.000267975487005462	0.000548152585787586	0.000657500227766081	0.000106732729055049	6.80336894101108e-05	0.00053809970090625	5.72325248816591e-05	0.000101422257088763	0.000661819345894268	0.000159171427900555	0.00015614190710942	0.00039061071002764	0.000438132768041894	0.000123138197127499	0.00029291721766343	5.20909113963073e-05	0.000170721267060364	0.00018169373493041	0.000116155222791228	0.000136597601667119	0.000474511840210102	0.000587118810895289	0.000722661008933723	0.000610345460629805	6.21392441172963e-05	0.000105303332778876	8.00550870490426e-05	0.000108925650141386	7.86835674721118e-05	0.000518813442630184	0.000203019474620419	0.000372142582433372
